
 a1 =  -0.000000000   5.340376980   5.340376980
 a2 =   5.340376980   0.000000000   5.340376980
 a3 =   5.340376980   5.340376980   0.000000000

 b1 =  -0.588271702   0.588271702   0.588271702
 b2 =   0.588271702  -0.588271702   0.588271702
 b3 =   0.588271702   0.588271702  -0.588271702

 volume = 304.611111419

 cutoff = 10.000000000

 grid = ( 7 7 7 ) -- minimal
        ( 7 7 7 ) -- factors 2, 3, 5, 7, 1*11, 1*13
        ( 8 8 8 ) -- factors 2, 3, 5

 Max G-vector indices : 3 3 3
 k-point = ( 0.000000000 0.000000000 0.000000000 )
 ng = 169

     n    g1    g2    g3     gx        gy        gz        ekin
   152     2     3     0     0.588    -0.588     2.941     9.343717065
   153     2     3     1     1.177    -0.000     2.353     6.921271900
   154     2     3     2     1.765     0.588     1.765     6.575208305
   155     2     3     3     2.353     1.177     1.177     8.305526280
   156     3     0     0    -1.765     1.765     1.765     9.343717065
   157     3     0     1    -1.177     2.353     1.177     8.305526280
   158     3     0     2    -0.588     2.941     0.588     9.343717065
   159     3     1     0    -1.177     1.177     2.353     8.305526280
   160     3     1     1    -0.588     1.765     1.765     6.575208305
   161     3     1     2    -0.000     2.353     1.177     6.921271900
   162     3     1     3     0.588     2.941     0.588     9.343717065
   163     3     2     0    -0.588     0.588     2.941     9.343717065
   164     3     2     1    -0.000     1.177     2.353     6.921271900
   165     3     2     2     0.588     1.765     1.765     6.575208305
   166     3     2     3     1.177     2.353     1.177     8.305526280
   167     3     3     1     0.588     0.588     2.941     9.343717065
   168     3     3     2     1.177     1.177     2.353     8.305526280
   169     3     3     3     1.765     1.765     1.765     9.343717065

